Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID,Verified
A20596,X,Costaria,costata,United States,1965 Jun 15,R. Driskill,38182361-2041-E645-860C-55490DD223FC,11/10/2019
A20406,X,Costaria,costata,United States,1965 Jun 15,R. Driskill,AE175155-966B-D34D-8B83-DD77D487C081,11/10/2019
A20684,X,Costaria,costata,United States,1965 Jun 15,Arthur C. Mathieson,9F469CBB-9836-BB4E-BA79-3C9435EC0B6A,11/10/2019
A20393,X,Costaria,costata,United States,1965 Jun 15,Arthur C. Mathieson,882F380B-020B-D941-830C-EEF0FAA30BD8,11/10/2019
A21574,X,Costaria,costata,United States,1965 Jun 17,R. Driskill,A472F484-A721-3C47-8C5E-1460047DA6D5,11/10/2019
A21558,X,Costaria,costata,United States,1965 Jun 17,R. Driskill,699B3A95-E6E1-7B46-9382-A0BD0D41A7E5,11/10/2019
A21615,X,Costaria,costata,United States,1965 Jun 17,R. Driskill,7465E5EF-EAD7-7B45-9FB5-12078CDA1BEB,11/10/2019
A21578,X,Costaria,costata,United States,1965 Jun 17,R. Driskill,C1FBB5A9-BF2C-BB4C-B596-D4A88C11B36D,11/10/2019
A21579,X,Costaria,costata,United States,1965 Jun 17,R. Driskill,F68DB238-CF91-0E4F-A2C2-CDF71AC6B0F3,11/10/2019
A22116,X,Costaria,costata,United States,1965 Jul 02,J. Green,F684FF79-E704-164B-9895-EC56DC0AD601,11/10/2019
A22929,X,Costaria,costata,United States,1965 Jul 03,Louis D. Druehl,34E2A9EC-AA6E-8F43-86B7-3AC40AF17E14,11/10/2019
A85519,X,Costaria,costata,United States,2005 Jun 22,Sandra C. Lindstrom,197CCCA2-B32C-6247-9857-987176A2C9F1,11/10/2019
A85973,X,Costaria,costata,United States,2006 Jun 10,Spencer Wood,4C5B3721-3742-1347-AB87-38C178FCD171,11/10/2019
A85974,X,Costaria,costata,United States,2006 Jun 10,Spencer Wood,B2B08201-A47C-4E4C-BAAB-2C767E825808,11/10/2019
A86529,X,Costaria,costata,United States,2005 Jun 20,Sandra C. Lindstrom,A072E2F6-5B1A-DB4A-A044-AF8904EC68E2,11/10/2019
A86814,X,Costaria,costata,United States,2005 May 25,Sandra C. Lindstrom,E962168C-DD80-2541-B0CC-238924D636B8,11/10/2019
A88279,X,Costaria,costata,United States,2009 Apr 26,Sandra C. Lindstrom,3463D1B8-F3EE-2845-B370-80EF403260C1,11/10/2019
A88351,X,Costaria,costata,United States,2005 Aug 19,Sandra C. Lindstrom,94EF2629-58AB-1C48-9A89-9FAFA2FF9E50,11/10/2019
A88388,X,Costaria,costata,United States,2002 Jul 13,Sandra C. Lindstrom,A632E946-8360-774A-BC4B-CB61A09631A9,11/10/2019
A27406,X,Costaria,costata,United States,1966 Jul 22,Ken Baillie,EE3B592F-8516-4148-B5E9-495A68A18EBF,11/10/2019
A21680,X,Costaria,costata,United States,1965 Jun 18,Louis D. Druehl,E9FBD2EA-D241-2C4B-958F-45DC0A232009,11/10/2019
A20780,X,Costaria,costata,United States,1965 Jun 18,Louis D. Druehl,1028A2CF-AA59-CB46-98FC-492A5CE9006F,11/10/2019
A22651,X,Costaria,costata,United States,1965 Jun 20,Louis D. Druehl,87A5EC94-0E6A-B346-84B1-380FCE5A5B11,11/10/2019
A22419,X,Costaria,costata,United States,1965 Jun 20,Louis D. Druehl,B0CAD5ED-88F1-DD41-9260-5DC1B006CCBD,11/10/2019
A21144,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,D1DD7668-7658-E048-B093-991549C1A016,11/10/2019
A21131,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,50CFC4A2-CDB3-DB4F-95E8-8DB4465A7664,11/10/2019
A21133,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,22A89F86-79BD-674B-BC76-EF23C767504B,11/10/2019
A21134,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,3B8DF264-828E-6846-ADDE-570108538B41,11/10/2019
A21132,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,2268A4D2-83E8-F142-A818-D3BE9FC8A231,11/10/2019
A21130,X,Costaria,costata,United States,1965 Jun 27,R. Driskill,BE2E4A70-D069-9641-800D-1C3B3E712112,11/10/2019
A21816,X,Costaria,costata,United States,1965 Jun 29,J. Green,E9E95AE4-4F0D-CE4B-A1B0-8DB404D0AB90,11/10/2019
A23559,X,Costaria,costata,United States,1965 Jun 30,Arthur C. Mathieson,224599CD-B228-F24D-B952-DBE40F43B8B7,11/10/2019
A23558,X,Costaria,costata,United States,1965 Jun 30,Arthur C. Mathieson,C6FEE423-50FE-8843-9EAC-95BEF4677CF2,11/10/2019
A22591,X,Costaria,costata,United States,1965 Jun 30,Arthur C. Mathieson,66160E67-90B2-E24F-9347-9BF25811146A,11/10/2019
A22590,X,Costaria,costata,United States,1965 Jun 30,Arthur C. Mathieson,6EB1424F-5A41-8A42-8170-0C1159E5CA43,11/10/2019
A22801,X,Costaria,costata,United States,1965 Jun 30,Louis D. Druehl,A01FED66-3144-3141-9855-35FBECB0773F,11/10/2019
A23156,X,Costaria,costata,United States,1965 Jul 01,Arthur C. Mathieson,0B49E698-1DD7-E144-BF38-B36A7B16A13A,11/10/2019
A22260,X,Costaria,costata,United States,1965 Jul 01,Louis D. Druehl,C9F111A9-6C69-3E45-82A6-1F63DAF46F25,11/10/2019
A22093,X,Costaria,costata,United States,1965 Jul 02,Louis D. Druehl,DCAA8409-7F25-A043-8BE0-AE36F28F33F6,11/10/2019
A23568,X,Costaria,costata,United States,1965 Jun 30,J. Green,C287D340-17EF-EA41-B689-F3ADC254EE74,11/10/2019
A22103,X,Costaria,costata,United States,1965 Jul 02,Arthur C. Mathieson,065AFFB1-C559-A84F-8C00-1CFE848212B0,11/10/2019
A9659,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,73ED3D39-D55B-2541-9517-86EDCFDC499E,11/10/2019
A9608,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,90EF55DD-879D-4C48-AB2B-2BCE5956BFF9,11/10/2019
A9606,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,8A6647BA-3C3A-1F47-ADA6-6D81EFF09FF7,11/10/2019
A9646,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,047E4FC8-C056-644A-8CC6-2B23E219F57E,11/10/2019
A9645,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,0D2020C4-F9B5-664E-9559-D8A7628D105C,11/10/2019
A9764,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,19555DAF-483C-F94A-A7CE-963F7BB78E16,11/10/2019
A9594,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,C5E33503-6D54-7E4B-B9B8-E7A3D78308CF,11/10/2019
A9765,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,6F5E54DF-5111-EC4C-A7FE-51494F46E69D,11/10/2019
A9759,X,Costaria,costata,United States,1960 Jul 11,Tom B. Widdowson,DEA5E492-F67D-6740-8D77-61160FE809BE,11/10/2019
A22930,X,Costaria,costata,United States,1965 Jul 03,Louis D. Druehl,E8C3973F-967B-114C-9D76-FAAE5263ED29,11/10/2019
A25134,X,Costaria,costata,United States,1966 Jun 30,Ken Baillie,A99EA9B1-9725-7D49-B852-CFFF96203926,11/10/2019
A25135,X,Costaria,costata,United States,1966 Jul 01,Gordon Robin South,FD0A800A-BFB8-CE46-80B3-D8FE40C8A344,11/10/2019
A27407,X,Costaria,costata,United States,1966 Jul 23,Gordon Robin South,98241F42-FEEC-834A-A82A-2B51410E8EF2,11/10/2019
A67948,X,Costaria,costata,United States,1977 Jul 02,Sandra C. Lindstrom,EE029163-4D29-4C49-B70A-BC73472BFF66,11/10/2019
A65986,X,Costaria,costata,United States,1973 Apr 04,Sandra C. Lindstrom,BCC0561C-2B62-F249-8712-ABA19F49071B,11/10/2019
A89151,X,Costaria,costata,United States,2011 Apr 22,Sandra C. Lindstrom,04DD863E-7391-664C-849F-E93E6369A619,11/10/2019
A89166,X,Costaria,costata,United States,2011 Apr 19,Sandra C. Lindstrom,A2C82968-7CE8-3841-92A8-2B166598F50C,11/10/2019
A89169,X,Costaria,costata,United States,2011 Apr 18,Sandra C. Lindstrom,1FA0B206-099E-984A-9238-40AF89D788CD,11/10/2019
A92690,X,Costaria,costata,United States,2016 May 25,Sandra C. Lindstrom,297A141D-421B-964F-B6B3-C6AFFCA32ADB,11/10/2019
A45672,x,Costaria,costata,Canada,1968 Jul 09,Sylvia C. P. O'brien,FD87AF19-28D4-4E4E-BB06-384AE1851D20,11/10/2019
A45673,x,Costaria,costata,Canada,1969 Aug 03,Sylvia C. P. O'brien,E23DC96D-0848-E043-97F4-23537E6DAC41,11/10/2019
A45665,x,Costaria,costata,Canada,1968 Jul 09,Sylvia C. P. O'brien,004459A5-489E-724B-9808-774D30E1866F,11/10/2019
A45660,x,Costaria,costata,Canada,1969 Aug 03,Sylvia C. P. O'brien,ADE46469-CD3A-544A-90F5-F39487F03262,11/10/2019
A45774,x,Costaria,costata,Canada,1969 May 17,Sylvia C. P. O'brien,5BADDCB0-FA3B-3442-854C-860406B93B38,11/10/2019
A45775,x,Costaria,costata,Canada,1969 Apr 12,Sylvia C. P. O'brien,4C284DFF-852F-644F-AC73-A52AE9F74FE7,11/10/2019
A45777,x,Costaria,costata,Canada,1969 May 17,Sylvia C. P. O'brien,6CE47D4D-F405-8447-8F13-EBCAA48DF4AF,11/10/2019
A45778,x,Costaria,costata,Canada,1969 May 17,Sylvia C. P. O'brien,2F8D34C8-316D-824E-A169-9710BAE9A33C,11/10/2019
A45779,x,Costaria,costata,Canada,1969 May 17,Sylvia C. P. O'brien,91D559F0-8645-F04F-9726-F9C48E388480,11/10/2019
A45670,x,Costaria,costata,Canada,1969 Sep 06,Sylvia C. P. O'brien,8958EE76-CFE5-E542-946B-81AA02E8A1AD,11/10/2019
A45669,x,Costaria,costata,Canada,1968 Sep 28,Sylvia C. P. O'brien,A99A3E80-39D2-A946-84AF-5DBA23478421,11/10/2019
A28563,x,Costaria,costata,Canada,1967 Mar 29,Gordon Robin South,C41CAEFA-2E19-334C-8BCF-1DD411DF7F9A,11/10/2019
A41956,x,Costaria,costata,Canada,1969 Aug 08,Ken Baillie,14BB90CE-BC35-234B-BA6A-2895DA435A87,11/10/2019
A41510,x,Costaria,costata,Canada,1969 Jun 25,Ken Baillie,B398482B-F5BA-2241-9CD8-0F62B8AE6538,11/10/2019
A41513,x,Costaria,costata,Canada,1969 Jun 24,Ken Baillie,2194C223-B45C-C84C-9A04-6B143B744C6B,11/10/2019
A40528,x,Costaria,costata,Canada,1969 Jun 21,Ken Baillie,EF20E524-FF8B-F24F-8DF7-AA93D05D668E,11/10/2019
A40503,x,Costaria,costata,Canada,1969 Jun 18,Ken Baillie,C825438F-5835-594D-86B8-1FBC61859EB1,11/10/2019
A40664,x,Costaria,costata,Canada,1969 Jun 16,Ken Baillie,261161C1-F79B-5E47-A226-0B2ED8E403FB,11/10/2019
A40692,x,Costaria,costata,Canada,1969 Jun 13,Ken Baillie,8F3C2FC2-F708-A94D-BF02-E2621749D849,11/10/2019
A40777,x,Costaria,costata,Canada,1969 Jun 12,P. Harrison,C0AE6BA5-DFD2-B242-9CC1-2F59048A95AB,11/10/2019
A40596,x,Costaria,costata,Canada,1969 Jun 04,Ken Baillie,6477F468-A7B1-BD41-9F9D-86D5404B93E3,11/10/2019
A35580,x,Costaria,costata,Canada,1968 Aug 09,Jim W. Markham,A7F77ECD-18B1-7F49-BF45-C73136ADA7CE,11/10/2019
A3064,x,Costaria,costata,Canada,1944 May 09,A.H. Hutchinson,40794979-9663-3846-92C4-4798B6D53FD6,11/10/2019
A40030,x,Costaria,costata,Canada,1969 May 18,Ken Baillie,968A7F8C-E9E5-794E-B219-0867F3A68D6B,11/10/2019
A39563,x,Costaria,costata,Canada,1945 Aug 18,R. W. Pillsbury,4497A220-229F-A649-8A2E-412795B49CE6,11/10/2019
A42303,x,Costaria,costata,Canada,1969 May 17,Ken Baillie,B0C5148F-CE2F-AF40-BEEA-BD8CEE5FC02A,11/10/2019
A39090,x,Costaria,costata,Canada,1968 Dec 18,Ken Baillie,6127310A-2B59-774A-8837-4EED20993F8F,11/10/2019
A41566,x,Costaria,costata,Canada,1969 Jul 14,Danny R. Pace,7507AE64-746B-0143-B50B-7D9363216A76,11/10/2019
A57084,x,Costaria,costata,Canada,1976 Mar 31,Eric Cabot,6170C8C6-084B-D14B-9210-F6836AE8B4C4,11/10/2019
A57107,x,Costaria,costata,Canada,1976 Mar 31,E. Cabot,DE1034C5-A149-B84A-98BF-F1B80569522F,11/10/2019
A52874,x,Costaria,costata,Canada,1975 Apr 15,Thomas F. Mumford Jr.,769DB576-8CE5-FC48-954B-F0BD8B147C29,11/10/2019
A32775,x,Costaria,costata,Canada,1968 Apr 28,M. Chihara,EA5A1379-836C-AF49-A54C-80BF630DF8AD,11/10/2019
A31799,x,Costaria,costata,Canada,1967 Aug 07,Patrick Chamut,DC31FB85-AAFE-794C-93D4-DEB9C2C64BCB,11/10/2019
A29488,x,Costaria,costata,Canada,1967 Jun 20,Patrick Chamut,9F9058F8-AF64-2042-9508-2D95CFF91983,11/10/2019
A32669,x,Costaria,costata,Canada,1968 Apr 29,M. Chihara,BDD00CBE-15EE-7F47-B735-3A5394ABE17D,11/10/2019
A19598,x,Costaria,costata,Canada,1964 Jul 09,Louis D. Druehl,6E0101E1-77ED-2747-8DFD-11E4B18EFB46,11/10/2019
A19373,x,Costaria,costata,Canada,1964 Aug 07,Robert K.S. Lee,E7F24DCA-9A86-D947-92F1-B9824C512BA6,11/10/2019
A18532,x,Costaria,costata,Canada,1964 Jun 09,Robert K.S. Lee,DC5F845B-7111-A64F-87EB-63DAD58877E6,11/10/2019
A19809,x,Costaria,costata,Canada,1964 Sep 06,Louis D. Druehl,DB74AC06-79D0-E44C-B97D-2E796A74C620,11/10/2019
A18247,x,Costaria,costata,Canada,1964 Jun 08,Louis D. Druehl,5AF306FA-7474-A64A-8CCF-D43379CC17B5,11/10/2019
A45702,x,Costaria,costata,Canada,1969 May 05,S. O'brien,44896975-09E9-2149-B72A-06A714013817,11/10/2019
A45705,x,Costaria,costata,Canada,1968 May 14,S. O'brien,51CBD159-0F95-694D-95E6-0AC619997707,11/10/2019
A52703,x,Costaria,costata,Canada,1975 Apr 15,Thomas F. Mumford Jr.,D9459597-4E40-E944-A95A-657B636626AB,11/10/2019
A52826,x,Costaria,costata,Canada,1975 Apr 15,G. J. Court,0A26E238-0732-E047-B879-4B3F627EA658,11/10/2019
A63522,x,Costaria,costata,Canada,1981 Apr 03,David J. Garbary,A2F3BE7B-2545-E24F-AE37-070F693F283E,11/10/2019
A67966,x,Costaria,costata,Canada,1973 Apr 19,Sandra C. Lindstrom,67E5B0B8-47C2-7843-9FA2-01F297085E1A,11/10/2019
A63947,x,Costaria,costata,Canada,1979 May 14,J. B. Foster,87175365-460C-5348-8BC3-5AC1A8F2F7B9,11/10/2019
A63938,x,Costaria,costata,Canada,1979 Mar 12,Anne Stewart,AD23BEA8-EF60-C542-AF17-B69A869CD578,11/10/2019
A63986,x,Costaria,costata,Canada,1979 Sep 22,Anne Stewart,DF06F168-8DB7-534F-845C-7C440080A7E2,11/10/2019
A63987,x,Costaria,costata,Canada,1979 Nov 05,Anne Stewart,348F9A8C-2EAB-F34A-9791-F51FA4D6BF8B,11/10/2019
A85706,x,Costaria,costata,Canada,2007 May 18,Sandra C. Lindstrom,207076E3-CA71-0941-9BBE-F63A9569C6C3,11/10/2019
A54611,x,Costaria,costata,Canada,1976 Mar 27,C. Tanner,41A52E6E-33B8-454A-B108-2513FA30C05E,11/10/2019
A90310,x,Costaria,costata,Canada,2013 May 27,Sandra C. Lindstrom,C60E912B-62A0-8540-B844-817740332AC4,11/10/2019
A27408,X,Coilodesme,bulligera,United States,1966 Jul 23,A. Cattell,9EC34CFF-81F7-9C42-A003-D5DB9CB2EF24,11/10/2019
A45881,X,Coilodesme,bulligera,Canada,1971 Jul 18,R. G. Hooper,980C517E-48D6-2145-B953-3D1E0F2D69EB,11/10/2019
A62603,X,Coilodesme,bulligera,Canada,1913,anonymous,0C2428CB-6DD3-7D4A-AD24-E08E75E71261,11/10/2019
A62604,X,Coilodesme,bulligera,Canada,1946 Jul 14,None,9276E649-F1D6-F343-AEF5-AD39107BE6B5,11/10/2019
A223,X,Coilodesme,bulligera,Canada,1946 Jul 14,Robert F. Scagel,4FDB2263-D948-2045-AE74-3F850CD34877,11/10/2019
A42301,X,Coilodesme,bulligera,Canada,1969 May 16,Ken Baillie,2B173FB8-E84B-EC46-9A8E-9130255CFDCD,11/10/2019
A19877,X,Coilodesme,bulligera,Canada,1963 Apr 27,Arthur C. Mathieson,11D4ACB8-061D-6842-9C25-2415528D622E,11/10/2019
A5146,X,Coilodesme,bulligera,Canada,1958 May 16,Robert F. Scagel,428D7E45-D4DB-7A48-9126-96C969D6ECD4,11/10/2019
A14701,X,Coilodesme,bulligera,Canada,1957 Aug 23,Tom B. Widdowson,2CE8E83F-C8F6-6D48-B879-B1780AD2ACBD,11/10/2019
A10949,X,Coilodesme,bulligera,Canada,1959 May 21,Tom B. Widdowson,933A6918-8533-974A-AB4B-20CE81B2E010,11/10/2019
A11209,X,Coilodesme,bulligera,Canada,1959 May 26,Tom B. Widdowson,0555D199-D6C6-134C-9207-DC10EC11953D,11/10/2019
A3974,X,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,90B6A1F4-945F-D34D-AE70-B8D1CF5B0530,11/10/2019
A10577,X,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,945343AD-BE10-0A4F-A2E3-9ADEC8E0E411,11/10/2019
A10576,X,Coilodesme,bulligera,Canada,1959 May 28,Tom B. Widdowson,255AEAD1-F5B2-6E4E-96DD-F93CB7B80D99,11/10/2019
A16190,X,Coilodesme,bulligera,Canada,1963 Jun 25,Robert K.S. Lee,CD991991-AA49-6945-B316-534220D26A8D,11/10/2019
A18448,X,Coilodesme,bulligera,Canada,1964 Jun 08,Louis D. Druehl,9AB089E1-C7A4-004E-AADD-10EAD5F39E6C,11/10/2019
A3975,X,Coilodesme,bulligera,Canada,1959 May 26,Tom B. Widdowson,BE931010-0036-2449-890D-BF34513E8E9E,11/10/2019
A60441,X,Coilodesme,bulligera,Canada,1979 Jun 05,Larry T. Golden,25F3C58B-B463-1B42-A34E-A4D167C20E7C,11/10/2019
A62373,X,Coilodesme,bulligera,Canada,1980 Jun 03,Larry T. Golden,AAA667CD-4993-4E4D-B479-F402C51600B7,11/10/2019
A9680,X,Coilodesme,bulligera,United States,1960 Jun 22,Tom B. Widdowson,811BBE2D-ED6C-E54F-9C72-AF2800B0E182,11/10/2019
A9778,X,Coilodesme,bulligera,United States,1960 Jul 11,Tom B. Widdowson,67C17B00-56E0-1D44-9740-D25CD0FE609E,11/10/2019
A22458,X,Coilodesme,bulligera,United States,1965 Jun 20,Louis D. Druehl,6C4E24C4-C8CE-8842-B203-7E5A3EBFA854,11/10/2019
A10582,X,Coilodesme,bulligera,United States,1960 Jul 11,Tom B. Widdowson,5AF1DE7C-E1BD-4A42-A949-D36E576A908D,11/10/2019
A9137,X,Coilodesme,bulligera,United States,1960 Jun 24,Tom B. Widdowson,9F70343C-E7D7-CD44-AEEF-700ED1DAE516,11/10/2019
A9151,X,Coilodesme,bulligera,United States,1960 Jun 24,Tom B. Widdowson,2ECAF246-D3EE-4546-B8AF-64659437A86C,11/10/2019
A21087,X,Coilodesme,bulligera,United States,1965 Jun 27,Louis D. Druehl,568C138F-201C-8943-A2B5-A63FE4FD523B,11/10/2019
A21042,X,Coilodesme,bulligera,United States,1965 Jun 27,Louis D. Druehl,05939947-DFA5-8740-AF9A-B2763DA6D49F,11/10/2019
A22599,X,Coilodesme,bulligera,United States,1965 Jun 30,Arthur C. Mathieson,281ACA51-96B1-8545-9749-C88074382D8F,11/10/2019
A23135,X,Coilodesme,bulligera,United States,1965 Jul 01,Arthur C. Mathieson,E8F4E01E-20BB-A540-A6C2-E5042DE0D35E,11/10/2019
A27848,X,Coilodesme,bulligera,United States,1966 Jul 07,Jim W. Markham,C98C6180-0D01-A640-AD70-B5DF3E7FDFEB,11/10/2019
A26123,X,Coilodesme,bulligera,United States,1966 Jul 12,MJ.W. Markham,60EA0D03-8FBB-2349-ACB6-FC83FEE12F8D,11/10/2019
A26668,X,Coilodesme,bulligera,United States,1966 Jul 16,MJ.W. Markham,F35C7726-5743-3B46-BFB6-CCF287198EFA,11/10/2019
A67623,X,Coilodesme,bulligera,United States,1984 Jun 30,Robert F. Scagel,1CAB4389-45FE-6C4F-B8A8-94C211F88B72,11/10/2019
A27217,X,Coilodesme,bulligera,Canada,1984 Jun 13,Sandra C. Lindstrom,CEEFB376-5193-1147-A8BC-38C31AFA2CEE,11/10/2019
A67834,X,Coilodesme,bulligera,Canada,1984 Jun 13,Sandra C. Lindstrom,DA9D0664-20CC-8249-8161-F6D8F85E6253,11/10/2019
A67952,X,Coilodesme,bulligera,United States,1979 Jun 13,Sandra C. Lindstrom,0C33C72A-EA3F-8E46-8619-ED5C3293BF25,11/10/2019
A70880,X,Coilodesme,bulligera,United States,1985 May 06,Sandra C. Lindstrom,B684D126-6175-744A-ACD8-868000C14F9A,11/10/2019
A25055,X,Coilodesme,bulligera,United States,1966 Jul 02,Jim W. Markham,A1D28989-74B8-954D-A5A2-167FFF9645E6,11/10/2019
A65990,X,Coilodesme,bulligera,United States,1974 May 21,Sandra C. Lindstrom,91D144BB-9C06-F744-BF64-3B2B75EF7558,11/10/2019
A84991,X,Coilodesme,bulligera,United States,3/6/1977,Sandra C. Lindstrom,5C68641D-AA54-BB43-8E92-DD449D335CC8,11/10/2019
A85509,X,Coilodesme,bulligera,United States,2005 May 23,Susan M. Saupe,7CC53F96-9CFA-7F4D-8EE2-B1C39B93364F,11/10/2019
A85994,X,Coilodesme,bulligera,United States,2007 Jun 16,Roly Russell,86CA752A-E707-504C-9C9F-E46F1240C715,11/10/2019
A86020,X,Coilodesme,bulligera,United States,2007 Jun 16,Spencer Wood,1073CF6D-855F-D54B-A664-339C7B197B8B,11/10/2019
A86733,X,Coilodesme,bulligera,United States,2005 May 22,Sandra C. Lindstrom,9C061C0A-D2C6-E347-8D2C-905AC492478F,11/10/2019
A87230,X,Coilodesme,bulligera,United States,2006 Jun 13,Roly Russell,3040CE32-ECB7-304D-B05A-CA17CCA4D46E,11/10/2019
A87252,X,Coilodesme,bulligera,United States,2007 Jun 29,Roly Russell,0419EA11-E7B6-2343-93A6-2316DAE3CB59,11/10/2019
A87359,X,Coilodesme,bulligera,United States,2008 Jun 07,Sandra C. Lindstrom,53DBCA6A-F14E-D94C-90AD-D50BD17D56D4,11/10/2019
A88324,X,Coilodesme,bulligera,Canada,2009 May 25,Sandra C. Lindstrom,4F7BC123-3538-4044-AEDD-B64D7553D534,11/10/2019
A50053,X,Coilodesme,bulligera,Canada,1973 Apr 27,Richard D. Hill,B5FEAE58-256A-3C49-8843-F084D5AF357C,11/10/2019
A16247,X,Coilodesme,bulligera,Canada,1963 Jun 24,Robert K.S. Lee,0C6212BD-42F5-FC45-A56F-FF40C2D5FC27,11/10/2019
A16344,X,Coilodesme,bulligera,Canada,1963 Jun 24,Robert K.S. Lee,8F562112-4509-CC41-B8E4-A3E86ECA8200,11/10/2019
A89866,X,Coilodesme,bulligera,Canada,2013 May 27,Katharine R. Hind,69FFFFB2-7110-4240-AE25-5DA570166086,11/10/2019
A92480,X,Coilodesme,bulligera,United States,1968 Mar 15,Mike J. Wynne,AB1CE274-8B95-B843-85FD-B37EE6B66E94,11/10/2019
A80717,X,Coilodesme,bulligera,United States,1989 Jul 16,Sandra C. Lindstrom,979F7585-7084-1748-A942-7538858113B0,11/10/2019
A92671,X,Coilodesme,bulligera,United States,2016 May 21,Sandra C. Lindstrom,997D0268-9A7D-3C4A-9F71-431B78E0011B,11/10/2019
A92703,X,Coilodesme,bulligera,United States,2016 May 26,Sandra C. Lindstrom,0C51806B-217A-C34A-8055-F939F324C562,11/10/2019
A92584,X,Coilodesme,bulligera,United States,2016 May 22,Sandra C. Lindstrom,3C313B62-FCE9-2A4C-8A60-1D93DB40EC0B,11/10/2019
A92639,X,Coilodesme,bulligera,United States,2016 May 25,Sandra C. Lindstrom,AF9B2704-E622-8E4F-8996-9C633FBC7A12,11/10/2019
A36792,X,Costaria,costata,Canada,1968 Aug 19,Jim W. Markham,9739B7F4-7E5F-CF4A-B53E-160938C2279D,11/10/2019
A36789,X,Costaria,costata,Canada,1968 Aug 17,Jim W. Markham,C764B595-FF07-6744-BDF7-BAD5829A6A6D,11/10/2019
A35911,X,Costaria,costata,Canada,1968 Aug 16,Jim W. Markham,9EB82787-BB4B-0A47-B6C0-96840EE21637,11/10/2019
A36295,X,Costaria,costata,Canada,1968 Aug 16,Jim W. Markham,C45C9E38-6E50-3C4A-9D64-82C64AF1E03E,11/10/2019
A36754,X,Costaria,costata,Canada,1968 Aug 15,Jim W. Markham,E5D2CF0E-675F-FB44-A9FB-80538E1817F2,11/10/2019
A36297,X,Costaria,costata,Canada,1968 Aug 14,Jim W. Markham,ACA85D74-BD4F-B249-AF6B-FB69FED9F1D2,11/10/2019
A36296,X,Costaria,costata,Canada,1968 Aug 14,Jim W. Markham,C1257F59-43A9-2544-8264-196AF343032F,11/10/2019
A36510,X,Costaria,costata,Canada,1968 Aug 11,Jim W. Markham,72A40D4D-994F-C949-8C0A-4C6F9770F123,11/10/2019
A36509,X,Costaria,costata,Canada,1968 Aug 11,Jim W. Markham,7E0A0BC3-ADEE-EB43-8616-26904E4921A0,11/10/2019
A35683,X,Costaria,costata,Canada,1968 Aug 11,Jim W. Markham,15E164A4-A8BB-3546-BDEF-FA7BCD8B65DD,11/10/2019
A45639,X,Costaria,costata,Canada,1969 Sep 06,Sylvia C. P. O'brien,237A319D-E5FE-8249-A1C5-AABDE753820C,11/10/2019
A45640,X,Costaria,costata,Canada,1969 Aug 02,Sylvia C. P. O'brien,11461457-48A4-8043-9EA8-8E2C087B27CC,11/10/2019
A45650,X,Costaria,costata,Canada,1969 Aug 02,Sylvia C. P. O'brien,329F50F3-CA39-414B-9F14-370D8EECF8E0,11/10/2019
A45645,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,F9A63FC0-BC33-CF48-823C-7D10E73DD28B,11/10/2019
A45646,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,FDDFE1B1-B251-D344-AF0E-25E3343C2BE3,11/10/2019
A45644,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,58C74698-BB4E-604E-ADA7-CFC79AA95EAD,11/10/2019
A45647,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,C1DDEFF7-E654-BB4E-AAC3-86DECBAE151B,11/10/2019
A45641,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,C4E23DEE-3C17-4D4A-9A40-8F0DB6722857,11/10/2019
A45648,X,Costaria,costata,Canada,1969 Jun 15,Sylvia C. P. O'brien,E7A9C4C4-E4FF-9E41-BB33-0CC20352B482,11/10/2019
A45643,X,Costaria,costata,Canada,1969 Jun 15,Sylvia C. P. O'brien,258B950B-76AD-C847-AEA9-CE52D1CEBC43,11/10/2019
A45654,X,Costaria,costata,Canada,1968 Jul 08,Sylvia C. P. O'brien,D0503CD6-19B4-8547-87BD-FACBFFB6CE18,11/10/2019
A45651,X,Costaria,costata,Canada,1969 Jul 12,Sylvia C. P. O'brien,FB1C19DF-81B5-D941-A73C-B7031560F279,11/10/2019
