Accession Number,(X) Verified,Phylum,Class,Genus,Species,Country,Date Collected,Primary Collector,UUID,Verified
A43024,X,Ochrophyta,Phaeophyceae,Elachista,pusilla,Chile,1968 Feb 02,Patrick Chamut,CDDFF4E9-6298-B447-9AE1-F35C3E9FDF8E,03/17/2020
A44435,X,Ochrophyta,Phaeophyceae,Elachista,pusilla,Chile,1970 Jan 29,Jim W. Markham,0C3F4860-5FE3-FD49-A3B0-375FAE21576C,03/17/2020
A44434,X,Ochrophyta,Phaeophyceae,Elachista,rosarioides,Chile,1970 Feb 03,Jim W. Markham,D49A3ED6-9DBB-4C4E-BD98-ABE5F6E76F4C,03/17/2020
A45309,X,Ochrophyta,Phaeophyceae,Elachista,rosarioides,Chile,1970 Feb 14,Jim W. Markham,DC83B563-C972-8246-9593-7D84373367BB,03/17/2020
A44436,X,Ochrophyta,Phaeophyceae,Elachista,rosarioides,Chile,1974 Feb 07,Jim W. Markham,2228E1C6-ACD4-0A44-BF55-601044C791B6,03/17/2020
A92628,10/7/2019,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,2016 May 24,Sandra C. Lindstrom,D770BA7F-9C8E-8842-95A6-DDC696458998,03/17/2020
A93711,19/7/2019,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,1989 Jul 21,Sandra C. Lindstrom,CEA76B91-5C61-334D-A8AF-C0EB56FE7F91,03/17/2020
A93471,29/11/2019,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2016 Jul 15,Sandra C. Lindstrom,D23254BD-5C26-FE49-B322-67789DD0C4BA,03/17/2020
A93537,17/1/2020,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2003 Jun 15,Sandra C. Lindstrom,BFFA88B4-BE4E-3348-9CAD-74E0338BA55A,03/17/2020
A93546,17/1/2020,Ochrophyta,Phaeophyceae,Eudesme,virescens,United States,2003 Jul 27,Sandra C. Lindstrom,88A58F92-F9F1-084B-BD85-8F99E018342E,03/17/2020
A92707,8/7/2019,Ochrophyta,Phaeophyceae,Fucus,distichus,United States,2016 May 26,Sandra C. Lindstrom,2909547D-F9EB-EC4E-93A5-C7E2268B6A89,03/17/2020
A93534,17/1/2020,Ochrophyta,Phaeophyceae,Fucus,distichus,United States,2003 Jun 15,Sandra C. Lindstrom,E4F2C820-9118-614C-B8A2-34F17B5565EF,03/17/2020
A70908,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1981 Jun 02,Sandra C. Lindstrom,EDBAB184-26D4-224C-AEFE-0790476A6512,03/17/2020
A10627,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 12,Tom B. Widdowson,8738E2CE-DF04-474E-B689-5F496277AC1D,03/17/2020
A9620,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 11,Tom B. Widdowson,050A87E6-0081-1847-B6D3-DD3E390FB6C5,03/17/2020
A14194,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 09,Tom B. Widdowson,2E2A3367-08D9-F24A-A460-6F29234E7298,03/17/2020
A14300,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 09,Tom B. Widdowson,644CEA04-22FC-604A-A853-CB6ADA6829F5,03/17/2020
A14196,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 08,Tom B. Widdowson,40E93EF8-3A2F-3540-BC45-D77031932B5D,03/17/2020
A9433,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 07,Tom B. Widdowson,29C4B231-14A3-7A4A-81F9-64F139B9FE27,03/17/2020
A14308,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 06,Tom B. Widdowson,872D90BD-0B4F-1C4D-8053-7EF6F5B4C900,03/17/2020
A9257,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 06,Tom B. Widdowson,AD9A1B1D-EE5C-8F46-B0D9-7D892893DFD8,03/17/2020
A9432,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 25,Tom B. Widdowson,5F3B2425-B272-BF4A-86C6-419641B4887D,03/17/2020
A22696,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 14,Arthur C. Mathieson,1767A23A-2381-A644-9B84-D7E903747C18,03/17/2020
A20808,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 13,Jim W. Markham,034C0B54-60EA-E940-A849-FDDD1EE8FFC3,03/17/2020
A21491,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 13,J. Green,C57CFD10-0F8F-F14F-9A80-4F1CF1B36350,03/17/2020
A20560,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 13,J. Green,E52B9118-1EFB-604E-AC33-69730012C671,03/17/2020
A22524,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Arthur C. Mathieson,7C29C1D5-376C-A741-A2C3-02C5AB7289CB,03/17/2020
A22680,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 11,Louis D. Druehl,BEAA9699-D1EF-3044-9CEF-4E1775877E9C,03/17/2020
A64135,X,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1981 Jun 09,J. Houghton,8FA11C08-67E5-CB45-BC92-D8AFA0734B7D,03/17/2020
A27415,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 23,Richard D. Hill,F8A7F29F-D72E-2B43-9A4C-BDEA12D0E126,03/17/2020
A27908,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 21,Allan Cattell,5300BC35-CDAB-3A48-B982-CD6526B0E4B1,03/17/2020
A27911,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 19,Jim W. Markham,C286EFC9-8F0C-C947-BABB-0BDA2958C3A1,03/17/2020
A26662,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Ken Baillie,7B26EE69-E90D-9644-87AD-2A059F3595D1,03/17/2020
A26661,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Ken Baillie,CC478A7C-5B07-514B-85A4-A48CC18C64FC,03/17/2020
A26663,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Ken Baillie,1162D998-6FB1-CB4A-9F8C-7740ED59EFF5,03/17/2020
A27887,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jul 15,Jim W. Markham,A5F6F50F-DD4D-084D-BD0F-6CD6120F694F,03/17/2020
A25145,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1966 Jun 30,Ken Baillie,9C613F3F-5FD6-B545-8584-00B24F0F1A76,03/17/2020
A21308a,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,BB1041C5-6376-464E-A918-44D854D01F58,03/17/2020
A21317b,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,E3EA5057-65E3-C84A-A47A-F33D2C09C59C,03/17/2020
A21317a,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,C25E2E9B-4FDD-034E-89E8-D7B1AEC8B96C,03/17/2020
A21318c,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,AECC535B-9D4F-154D-8C45-AA7AC07E7872,03/17/2020
A21318a,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,7576FB40-A4DF-4245-B343-AFC71143847C,03/17/2020
A21318b,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,B6EB00D3-A539-0E49-9ECE-88408F3515FC,03/17/2020
A21308b,x,Ochrophyta,Phaeophyceae,Eualaria,fistulosa,United States,1965 Jul 03,Louis D. Druehl,6B86C2D9-32B9-8447-9242-86DA3252E481,03/17/2020
A80612,x,Ochrophyta,Phaeophyceae,Fucus,distichus,United States,1989 Jul 15,Sandra C. Lindstrom,FD631DD0-1FA3-BC49-B965-6F2CA4846663,03/17/2020
A80600,x,Ochrophyta,Phaeophyceae,Fucus,distichus,United States,1989 Aug 02,Sandra C. Lindstrom,0CCCB384-3A17-A44E-9DBE-7CCB3D754D54,03/17/2020
A4529,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1958 Jun,R. Mch.,5A26B9DB-DEA5-244A-945C-42B16E3A8D60,03/17/2020
A9161,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 07,Tom B. Widdowson,51184BB5-5EF8-624F-BE1C-BF3E1F647F50,03/17/2020
A9776,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 07,Tom B. Widdowson,8A2BD662-FBA3-D449-B7C3-AE4A6E50A2C4,03/17/2020
A9417,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 07,Tom B. Widdowson,C659FF4D-11B7-1349-9183-3D30073E77E6,03/17/2020
A9434,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jul 07,Tom B. Widdowson,38E2F51F-3BE2-6E40-9ACE-E8C8738E3CE3,03/17/2020
A9176,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 25,Tom B. Widdowson,F9E303E1-67D7-1B4F-8912-981FAE9BD29D,03/17/2020
A9247,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 24,Tom B. Widdowson,640E7C4B-7A80-EB4D-AC9C-329C66911C4F,03/17/2020
A9173,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 24,Tom B. Widdowson,DA7C0CFD-673C-3F4D-A889-7B35773CA309,03/17/2020
A9128,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 24,Tom B. Widdowson,9B537500-992E-F44D-9C32-EFADCEFBDA5A,03/17/2020
A9385,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 28,Tom B. Widdowson,041439B2-2ACB-C443-B2A6-B629219B3129,03/17/2020
A9178,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1960 Jun 28,Tom B. Widdowson,8322CA41-C4E3-1A46-B2A3-D53365C80B51,03/17/2020
A20907,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 19,Arthur C. Mathieson,97E51F9F-2C44-5641-9D4C-4AC128714EB1,03/17/2020
A22641,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,9F988A5D-06BA-4F40-902A-0C802F5E54A3,03/17/2020
A22643,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,BFAEF353-6F22-EC44-BDF9-192A0BF192BE,03/17/2020
A22405,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,FC85019B-85A1-064E-B276-54675AC8F9B6,03/17/2020
A22645,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,494159A2-2E24-054E-A294-754EB66CB324,03/17/2020
A22654,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,1FCEF628-D99C-E84B-B188-6CC6EF49150D,03/17/2020
A22660,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,041F2662-0EC0-E64A-876F-5C030411FCC9,03/17/2020
A22659,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 20,Louis D. Druehl,B224D054-A6C4-DA4B-A87B-123D98F0B6B7,03/17/2020
A23203,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 28,Jim W. Markham,1535CEAA-1F21-AC45-8F65-320521C7365B,03/17/2020
A23201,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 28,Jim W. Markham,05F85BE6-1312-E24A-B481-CA514DEEFD42,03/17/2020
A23199,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 28,Jim W. Markham,CF741735-B6FD-464D-99C5-7D36295CF117,03/17/2020
A22021,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 28,Jim W. Markham,59FA218B-6F7D-7443-B32E-9A3A3EF6E066,03/17/2020
A21999,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 28,Jim W. Markham,CA03D42B-3CAC-044E-87D2-2CAF775A65D4,03/17/2020
A21104,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 27,R. Driskill,62018AE0-56A5-C544-AD79-22458A62CBB2,03/17/2020
A21392,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 12,Arthur C. Mathieson,55B466CA-F1E2-EF4D-926D-2C085F152FBF,03/17/2020
A20198,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Jun 12,Louis D. Druehl,BA8070E3-6F05-0847-A03A-E59C0FE387B8,03/17/2020
A23728,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1965 Dec 10,G. Robinson,9C164A06-B0F2-1245-931B-4DE26FA6F627,03/17/2020
A27940,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Dec 10,Gordon Robin South,5DF6012A-B784-384C-B984-FACEF353E9C7,03/17/2020
A27397,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,R. Hill,77E2DB49-FDD5-B745-ADB6-33F0AF7C02E6,03/17/2020
A27396,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,A. Cattell,BB1B3B94-164E-B941-B3CF-443CF14F0DD8,03/17/2020
A27064,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,A. Cattell,4F6C9F14-369B-1645-8304-263D4B4D8331,03/17/2020
A27063,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 23,A. Cattell,614F7DD6-7866-B04D-B7BA-926663D978EB,03/17/2020
A26111,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 11,Jim W. Markham,AB7884EA-E2C7-794F-A5BC-5956A458539B,03/17/2020
A26112,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,A. Cattell,118FDE30-135A-DE44-B565-073721BED86D,03/17/2020
A26097,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,Jim W. Markham,95E11191-D518-9441-A02F-C0483F5F8B36,03/17/2020
A26098,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,Jim W. Markham,8AB56B6F-0585-E845-96AF-C1DFA817E074,03/17/2020
A26099,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,Gordon Robin South,DE48AD54-83C8-6E46-998D-23511E2567AC,03/17/2020
A26100,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 12,Gordon Robin South,A09BB18F-FC1F-E94F-B83D-9CBE268F74BB,03/17/2020
A26101,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Jim W. Markham,B8D76B53-12FD-CB4E-9B89-3472788859A1,03/17/2020
A26393,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Jim W. Markham,2FE15515-E09D-C546-924A-FC3918CE66E3,03/17/2020
A26102,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 13,Jim W. Markham,449021C1-D64E-7A4A-914F-D23F6130BBB0,03/17/2020
A26387,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,United States,1966 Jul 14,Patrick Chamut,77AD7CC1-BB5D-DA4D-AADE-56596B28FFD5,03/17/2020
A35689,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,Canada,1968 Aug 10,Jim W. Markham,93214FD9-0F4E-2F4B-AFDC-54E1946BAAE8,03/17/2020
A38370,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,Canada,1968 Aug 20,Jim W. Markham,566EEA27-46B0-624C-9617-C9C6108E12B7,03/17/2020
A34490,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,Canada,1968 Jun 25,Ken Baillie,F760DCAF-B5E3-D542-828D-78DAB7A978C7,03/17/2020
A29796,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,Canada,1967 Jul 07,Patrick Chamut,A5F1431A-9F12-C64C-9854-E0151B9B7A96,03/17/2020
A18208,x,Ochrophyta,Phaeophyceae,Fucus,gardneri,Canada,1963 Oct 06,Robert K.S. Lee,37D29A24-DCB9-234C-9B7F-42CE9147C78B,03/17/2020
A4002,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1959 May 23,Tom B. Widdowson,9DEB5C7A-E8C4-0C44-918E-555CFDC5A070,03/17/2020
A35289,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Jul 24,Patrick Chamut,9D7DC9A8-13AB-B145-958D-1F4D5DFB2071,03/17/2020
A43302,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Spring,Louis D. Druehl,35A1AE0B-06B0-174A-94BE-9444E67AB15E,03/17/2020
A40500,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 18,Ken Baillie,22C341FA-FAF0-3141-8004-C2B450C4F243,03/17/2020
A40482,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 17,Ken Baillie,3D96E070-BF3D-3442-BC7B-1F8CEE248277,03/17/2020
A40737,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 16,Ken Baillie,065A1C49-1E9F-F845-8175-B05E47D89D11,03/17/2020
A40690,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 12,Ken Baillie,8035B365-3B56-B842-9F79-C1FDF8C4BA7E,03/17/2020
A40538,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 05,P. G. Harrison,305502A8-C192-424F-8596-4CEA427E0DFB,03/17/2020
A40539,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 05,P. G. Harrison,BEA8DDCE-931A-F747-9C8E-15F476660F0E,03/17/2020
A40594,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 04,Ken Baillie,7292181E-5AC2-DD47-8773-0314ED67E2BF,03/17/2020
A40436,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 03,Ken Baillie,80FF99D3-2E97-FD42-B11D-5944F21D66A3,03/17/2020
A40457,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 03,Danny R. Pace,1A92ABC2-5776-984F-AC17-A1EF295C59CB,03/17/2020
A40316,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 01,Sylvia O'brien,2FED8E3C-AC07-D74C-88B3-FBA92FDE512E,03/17/2020
A40633,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1969 Jun 02,S. O'brien,6B325A09-38C5-9043-98F6-478BB599AEB6,03/17/2020
A37550,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 24,Jim W. Markham,231C9E1D-C94C-CB45-9D2D-552AA800E1B0,03/17/2020
A37549,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 24,Jim W. Markham,6E00926C-19AA-6B41-B21A-E0DB6B788659,03/17/2020
A38138,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 31,Jim W. Markham,A786D4A8-0298-1148-9E0D-44B4298E9183,03/17/2020
A37033,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 20,Jim W. Markham,B7299548-BD74-524B-8490-F2B76E3B3588,03/17/2020
A36814,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 17,Jim W. Markham,4BF6F3A7-8B1F-D949-877F-CA3E3DC1F16C,03/17/2020
A36308,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 14,Jim W. Markham,86DF36EB-EF65-6F4A-A432-0EA46DD6AC01,03/17/2020
A36307,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 13,Jim W. Markham,D93BC3D1-BBFF-B74B-AEF2-48AFC9B7A8D5,03/17/2020
A35787,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 12,Jim W. Markham,20502BC2-235B-1845-AF1F-DA5E96B485DA,03/17/2020
A35609,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 10,Jim W. Markham,7C1144D5-ABDF-044B-930C-9375B7EEF2F7,03/17/2020
A36150,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 09,Jim W. Markham,15E088E2-104D-5345-8071-6A4A49304E3C,03/17/2020
A35536,X,Ochrophyta,Phaeophyceae,Egregia,menziesii,Canada,1968 Aug 09,Jim W. Markham,B71CD6C2-856A-4B48-8119-D1AA69ED83F5,03/17/2020
A55718,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1976 Mar 30,C. Tanner,4A6C4FC6-B46B-EE45-BE05-4605D9039592,03/17/2020
A42380,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Aug 19,Ken Baillie,CD7C1BBC-3C56-2141-9F8F-AC622376E4FF,03/17/2020
A41871,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Aug 01,Ken Baillie,C1D98831-E58D-F24F-B5D0-8544CD93423D,03/17/2020
A41769,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Jul 29,Ken Baillie,B6ADC0B7-76F9-104C-AA75-1219BD208676,03/17/2020
A41601,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Jul 14,Danny R. Pace,0DB1E7B7-5498-A54A-AA2D-244F14378B08,03/17/2020
A40571,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Jun 05,Ken Baillie,F17D5A4D-2585-1C43-9D3A-04910959F164,03/17/2020
A40834,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Jun 02,Ken Baillie,D5CD6B08-2D14-D442-A61B-4F224829F81B,03/17/2020
A40835,X,Ochrophyta,Phaeophyceae,Eisenia,arborea,Canada,1969 Jun 02,Ken Baillie,F31785F3-8FF1-954A-B455-2A9FA65146AA,03/17/2020
