Herbarium BioBlitz,SCIE 001,,,,,,
10-Sep-19,,,,,,,
Student Name,Payton Mackwood,,,,,,
Student Name,Mickey Ordog,,,,,,
12-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
13-Sep-19,,,,,,,
Student Name,,,,,,,
Student Name,,,,,,,
,,,,,,,
Accession Number,X = Inventoried,Genus,Species,Country,Date,Collector,UUID
A82742,,Chorda,filum,Japan,8/5/1990,S. Enomoto,914C341E-6C99-7049-8389-0D1FB86A6F14
A84564,,Chorda,filum,Japan,1996 May 13,Mitsuo Kajimura,A12EA2C2-0E6C-EE4A-B060-C96A9D62BDD0
A84669,,Chorda,filum,Japan,1999 Jun 06,T. Kitayama,A66E8F0B-8C46-C748-9D75-E1F4D3E35F6A
A85199,,Chorda,filum,United States,2002 Jul 07,S.C.Lindstrom,88EE6241-D96E-3047-826D-3E50245E3B13
A85517,,Chorda,filum,United States,2005 Jun 22,Mandy R. Lindeberg,BF6A25F0-AE11-9748-9844-9CD916CF1A54
A85945,,Chorda,filum,United States,2006 Jun 17,Roly Russell,36E707A9-3FFE-0D4B-B419-DF603260C2C6
A86923,,Chorda,filum,United States,2003 Jul 01,Sandra C. Lindstrom,016BB61F-E721-D340-B023-3020266C5356
A86965,,Chorda,filum,United States,2004 Jul 30,Sandra C. Lindstrom,878869C7-2415-C145-9E2E-58876FEBD169
A86980,,Chorda,filum,United States,2004 Jul 31,Sandra C. Lindstrom,CDF944D1-B3CF-AC46-8708-D6694EF09EA9
A87652,,Chorda,filum,New Zealand,2008 Mar 17,Mitsuo Kajimura,7980FCA7-3C96-574F-B8F0-0F0758839701
A88390,,Chorda,filum,Norway,2004 Jun 23,Sandra C. Lindstrom,2A12EEBE-B35D-D046-9EB9-E3A330109E9C
A89203,,Chorda,filum,United States,2008 Aug 07,Sandra C. Lindstrom,3817F457-AD76-7241-BC7E-075A108CD28E
A90161,,Chorda,filum,United States,2012 Aug 29,Sandra C. Lindstrom,F8CCCE80-EAE8-AC49-BAF5-4790DEF2820C
A90524,,Chorda,filum,United States,2012 Aug 29,Sandra C. Lindstrom,A42E26DC-6D55-DE4A-B7EF-2612E2C6D292
A91008,,Chorda,filum,United States,2008 Aug 06,Sandra C. Lindstrom,FBA2AFB9-83E0-804B-A1D3-7752E7CD0D38
A91059,,Chorda,filum,United States,2013 Jul 25,Sandra C. Lindstrom,5F7E972F-197A-BB43-A72A-8F451D506DA9
A91094,,Chorda,filum,United States,2013 Jul 22,Sandra C. Lindstrom,099E282B-71EC-1044-8EF4-C78DF4DA0FF1
A91196,,Chorda,filum,United States,2009 Aug 10,David Ward,F4F15FFC-5988-D048-B2A3-2E4D08673480
A26613,,Chorda,tomentosa,United States,1966 May 02,Arthur C. Mathieson,6DDD5666-F5FA-CA44-B534-03371102C719
A51149,,Chorda,tomentosa,Canada,1973 Jul 01,R. Hooper,F0E81FDA-BD83-A04F-A4A7-B81CA1593798
A33811,,Chorda,tomentosa,Canada,1968 May 20,Gordon Robin South,B223FB9C-12FE-484F-9F28-7B1DC9E4DFA3
A66333,,Chorda,tomentosa,Sweden,1946 Mar 29,H. Kylin,83E7D8A5-6AE7-6F48-80B5-13EEA8600C2C
A85200,,Chordaria,chordaeformis,United States,8/7/2002,Sandra C. Lindstrom,77F05EE0-31C6-714A-940E-9F1D91D93506
A89051,,Chordaria,chordaeformis,United States,2009 Jul 23,Mandy R. Lindeberg,74C55C0C-B48C-FC41-8165-36871F5D9626
A89364,,Chordaria,chordaeformis,Japan,2003 Aug 14,T. Kitayama,C223D1FA-1D8F-674C-B276-C692D4807775
A49601,,Chordaria,cladosiphon,Australia,1967 Jan 23,H.B.S. Womersley,CEB6A1FF-4C34-5D46-9F37-950171F27B13
A49602,,Chordaria,cladosiphon,Australia,1967 Jan 23,H.B.S. Womersley,7E135F98-4CF0-8F44-A43B-BB923C0BDAC6
A46350,,Chordaria,dictyosiphon,New Zealand,1945 Apr 10,Victor W. Lindauer,E950F46A-1E08-3440-944C-1545B678D3E1
A4672,,Chordaria,dictyosiphon,Unknown,[unknown],Victor W. Lindauer,BB54A580-3943-FE4A-B0ED-D68FA6030F25
A59704,,Chordaria,flagelliformis,United States,1899 Jun,A.A. Lawson,030F73B9-2105-F44C-8AC2-EC3444855EFA
A36080,,Chordaria,flagelliformis,Spain,1968 Sep 10,Louis D. Druehl,A186DE93-B640-A14F-8F43-D4D1B15B0C64
A7703,,Chordaria,flagelliformis,Sweden,1957 Aug 23,Mats Waern,A1A5BDB2-47F0-2B4F-BB91-4F58B089DC64
A23819,,Chordaria,flagelliformis,Sweden,1945 Jul 16,Tore Levring,97F891B4-2A19-B14E-AEC2-932BC74AADD5
A7323,,Chordaria,flagelliformis,Japan,1951 Jul 21,S. N.,3B36E224-5DA1-974A-967F-432F4A63863C
A217,,Chordaria,flagelliformis,United States,1936 Jun 28,M. R. Armstrong,79C881C1-E51A-6543-B125-CB36A015802F
A53058,,Chordaria,flagelliformis,United States,1969 Jun 15,Peter R. Newroth,62D0A6FA-15E5-9D4B-B2D5-18912E964336
A53071,,Chordaria,flagelliformis,United States,1969 Jun 03,Peter R. Newroth,11546902-C0FE-314E-8E01-0BF22F07F96F
A37771,,Chordaria,flagelliformis,United States,1952 Jul 15,J. R. Stein,4E34B674-B60F-2F4C-BF89-F4B2E9D61612
A52610,,Chordaria,flagelliformis,United States,1969 Jun 05,Peter R. Newroth,996E7C07-9255-CB4B-B0AB-BF480E047771
A52583,,Chordaria,flagelliformis,United States,1969 Jun 10,Peter R. Newroth,CF1C95A2-A5A3-3C42-BE50-6D6C28A61F55
A26609,,Chordaria,flagelliformis,United States,1966 Jun 14,E. Hehre,25E149E1-FC45-D24E-A38B-F40FCD8A672D
A52601,,Chordaria,flagelliformis,Canada,1969 Jan 18,Peter R. Newroth,5FA95561-36B0-BB4D-B32C-DB04ECAEA13B
A52600,,Chordaria,flagelliformis,Canada,1969 Jan 18,Peter R. Newroth,054BC1B8-81D9-C748-9254-4BF8A9C72966
A45880,,Chordaria,flagelliformis,Canada,1971 Jun 22,R. G. Hooper,ECAE6460-7B06-984E-99F5-58C377179573
A34102,,Chordaria,flagelliformis,Iceland,1960 Oct 04,Tom B. Widdowson,C7DE61F5-512F-E94A-8F0E-87F53C90252D
A34103,,Chordaria,flagelliformis,Iceland,1960 Oct 04,Tom B. Widdowson,38AD3F23-B18A-844F-B1F9-DC139E3AE1FD
A13692,,Chordaria,flagelliformis,Iceland,1960 Oct 05,Tom B. Widdowson,5D84F1D8-8F07-8443-B4AA-D767543B1791
A27568,,Chordaria,flagelliformis,United States,1966 Jul 29,Jim W. Markham,BD23A41E-9C4D-4D42-ACA5-C3671396A3DA
A46737,,Chordaria,flagelliformis,Canada,1969 Jul 17,Ken Baillie,2412A166-4DB2-B749-8BC5-A298C059BCCC
A218,,Chordaria,flagelliformis,United States,1917 Jul,N. L. Gardner,43C19281-CE00-D942-9EAF-93E4CF240287
A37698,,Chordaria,flagelliformis,United States,1968 Mar 22,Pat Healey,4B07F340-2367-D949-9010-E73144B466CE
A14279,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,E97583EF-89F4-C147-BE49-33C361C1EEE9
A14273,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,FA0311AC-6B08-5B4F-9CBB-57EEB56BE5A8
A14326,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,A6DDFE29-6D0D-4D4C-9CEF-7AB299E39CD0
A14323,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,7CF2153C-D59F-AD44-9A04-77688B1FC090
A14344,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,DF963CCD-7CDF-1B43-A011-D471331D15BD
A14341,,Chordaria,flagelliformis,United States,1960 Jul 09,Tom B. Widdowson,C86B2777-6BA8-2A42-B1E3-06F835767408
A26853,,Chordaria,flagelliformis,United States,1966 Jul 19,Jim W. Markham,B67E2EB8-C66F-4041-90D5-A58E19FA9685
A27410,,Chordaria,flagelliformis,United States,1966 Jul 23,R. Hille,F6F6CEFB-DC87-444D-ABE4-1590E6596497
A9725,,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,41795FEC-AADE-554E-A150-464430CA8651
A9736,,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,538CE0FE-CDC1-4348-AAF0-0BEEAE4FBF64
A9183,,Chordaria,flagelliformis,United States,1960 Jun 25,Tom B. Widdowson,6FDA9454-D2D7-054D-B6F5-B02F8EE7C9AF
A14215,,Chordaria,flagelliformis,United States,1960 Jul 07,Tom B. Widdowson,B4AF51D6-0DF7-3343-804E-839F65777E4E
A9458,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,A0865425-3A75-D34D-A24D-B2D4E57FADCB
A9440,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,A055FBC9-ABF8-FF4F-891B-69535F577187
A14190,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,672F3CD7-B703-6B4B-BA15-8292201363E1
A14189,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,83893FE5-75C4-6B4A-8DAB-E5C5838F5DA8
A14188,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,F68B1947-F57B-7F4C-AD2D-CF6DF9E14802
A14187,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,FE1F6E9E-EBCE-204C-862B-FE875E1FAB01
A14191,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,D8DE275A-25D7-4542-BE1F-E622DF912B94
A9748,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,D1F40AE4-7A8A-8F41-B7BA-726CB382C1E8
A10605,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,10A1E2ED-7E70-6F41-90C2-DDD0938D73BF
A10607,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,FA3C9A04-5636-5345-8CC4-E495B38988EA
A10604,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,4C996AC3-FF09-AD43-8F81-ACA79C7FD307
A10606,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,ECE493CA-C04B-9241-940C-DA60A364E061
A13017,,Chordaria,flagelliformis,United States,1960 Jul 12,Tom B. Widdowson,3F352C50-4A5E-0F4D-95D7-51D8BAE87CCC
A9292,,Chordaria,flagelliformis,United States,1960 Jul 13,Tom B. Widdowson,91587016-CBE2-C24E-ADA3-F6757708B352
A25562,,Chordaria,flagelliformis,United States,1966 Jul 03,Jim W. Markham,CBA36657-5ED2-CB45-B19A-C18643BD8B25
A25566,,Chordaria,flagelliformis,United States,1966 Jul 03,Jim W. Markham,FD4D24CD-2902-8644-935F-08DE09E64648
A25563,,Chordaria,flagelliformis,United States,1966 Jul 03,Jim W. Markham,C2782F96-B318-CD43-9591-A04514D6C953
A25564,,Chordaria,flagelliformis,United States,1966 Jul 03,Jim W. Markham,42389CF8-7AE4-B24C-B998-EEDCFA289A63
A25565,,Chordaria,flagelliformis,United States,1966 Jul 03,Jim W. Markham,C8DBD012-0F6B-EA4E-9E6D-3291CA210C1A
A25136,,Chordaria,flagelliformis,United States,1966 Jul 02,Jim W. Markham,B1B08022-DC88-4046-B59F-CAE32318BEEE
A25137,,Chordaria,flagelliformis,United States,1966 Jul 02,Jim W. Markham,49E81162-FB7D-5349-8831-5436EC9F7F58
A25567,,Chordaria,flagelliformis,United States,1966 Jul 04,Jim W. Markham,E4AC368C-CB6C-EA40-BB51-55DFAAB06D6D
A25559,,Chordaria,flagelliformis,United States,1966 Jul 04,Jim W. Markham,6B74E75D-9697-9643-9015-03ABBB4E544E
A25614,,Chordaria,flagelliformis,United States,1966 Jul 04,Jim W. Markham,9C589D76-11B7-B44A-8213-6F18824D6D5C
A25558,,Chordaria,flagelliformis,United States,1966 Jul 05,Jim W. Markham,6B27F43B-7F31-F34D-A96D-1FB928182B12
A25738,,Chordaria,flagelliformis,United States,1966 Jul 05,Jim W. Markham,93E94897-86E2-6749-87DC-E6DC7291CF42
A25919,,Chordaria,flagelliformis,United States,1966 Jul 08,Gordon Robin South,F7904107-CA4B-7640-9A93-F955E460B6BF
A26125,,Chordaria,flagelliformis,United States,1966 Jul 12,Jim W. Markham,73525CD8-5781-F244-A4B7-A32C7EDBAA48
A26374,,Chordaria,flagelliformis,United States,1966 Jul 14,Patrick Chamut,E47AC2BF-08D8-214E-81D2-529DA87CB65E
A26667,,Chordaria,flagelliformis,United States,1966 Jul 17,Jim W. Markham,0F938C4A-307E-1C4C-8DC5-28EAA6C5032E
A27412,,Chordaria,flagelliformis,United States,1966 Jul 28,Jim W. Markham,30A55A53-A05B-8746-A4CF-4F72B06D4430
A1779,,Chordaria,flagelliformis,Canada,1904,John Macoun,DFF7FC9F-764C-454A-AA66-CEAD20FCB136
A26539,,Chordaria,flagelliformis,Canada,1982 Aug 18,David J. Garbary,0C779925-23AE-AD47-8CE1-4B6EDAC9AF19
A45604,,Chordaria,flagelliformis,Canada,1982 Aug 18,David J. Garbary,22F00626-925D-0542-9662-C655722C2EFC
A68020,,Chordaria,flagelliformis,United States,1977 Jun 17,Sandra C. Lindstrom,1CABF09E-E728-1740-96D2-F6E0A12E5A76
A68021,,Chordaria,flagelliformis,United States,1978 Jul 21,Sandra C. Lindstrom,EB46A652-8088-6849-BC2D-BFA5FA5827C0
A67989,,Chordaria,flagelliformis,United States,1979 Apr 26,Sandra C. Lindstrom,94DA896F-C8BC-2146-9585-A41FBDC321B7
A67963,,Chordaria,flagelliformis,United States,1980 Aug 03,Sandra C. Lindstrom,010BCDD2-2A88-B34B-8ED8-858D8F6A4D98
A68038,,Chordaria,flagelliformis,United States,1980 Jul 31,Sandra C. Lindstrom,2E23CB5F-ACA8-C841-8A57-2A934CD7320A
A70640,,Chordaria,flagelliformis,Denmark,1988 Jun 23,Ruth Nielsen,9D544D34-1D4F-2D43-97EC-589141693995
A69723,,Chordaria,flagelliformis,United States,1977 Jul 17,Sandra C. Lindstrom,A18C684D-083D-C247-ABEB-DFA7E0DF84E9
A69724,,Chordaria,flagelliformis,United States,1980 Aug 08,Sandra C. Lindstrom,93D1A3AE-BEDE-0A45-BBA2-A17D42F447A8
A9726,,Chordaria,flagelliformis,United States,1960 Jun 28,Tom B. Widdowson,8E4D2C3B-2366-5144-8FBF-C70C924C8AC2
A9655,,Chordaria,flagelliformis,United States,1960 Jun 27,Tom B. Widdowson,9F897D71-8F56-BF4D-87A5-861F0DDE009D
A9291,,Chordaria,flagelliformis,United States,1960 Jul 06,Tom B. Widdowson,25EE5C8D-531A-BB4B-BB12-B7E9003A89E9
A9395,,Chordaria,flagelliformis,United States,1960 Jul 06,Tom B. Widdowson,1A58E94E-4BFC-124B-A17B-F9FE9D564C2B
A9804,,Chordaria,flagelliformis,United States,1960 Jun 23,Tom B. Widdowson,7495A98C-45C7-094A-99B0-23A7F17B731D
A9808,,Chordaria,flagelliformis,United States,1960 Jun 23,Tom B. Widdowson,2832D87A-455A-024C-93C2-0A6C1EB02C3C
A9754,,Chordaria,flagelliformis,United States,1960 Jul 11,Tom B. Widdowson,CB795225-C6CE-154E-BDE2-5603D31136AD
A9783,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,D7BA6EB9-2FBA-9B49-8629-AA62770C0CFC
A10483,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,262D6429-E178-5F4F-BFF5-8EBBA3F7F084
A10476,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,544658DD-FCCD-4341-B809-CA9E5156915F
A10482,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,0C5A6129-0B36-E245-9D28-F479299159F3
A10480,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,C3742F80-F436-C141-B95E-17677DA9B494
A10477,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,8B0ED95D-CDAB-DF4D-A978-AA112BF2EDD6
A10481,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,73346905-26AC-6C4C-AED9-512C5F0A87C7
A10469,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,88669956-B27F-4B43-A366-AF4679DC84D4
A9436,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,0025D048-516B-434D-9D4D-5C40CAEE6BAF
A10470,,Chordaria,flagelliformis,United States,1960 Jul 08,Tom B. Widdowson,C15D7814-09B9-E042-AA1C-8B1028F5946F
A65966,,Chordaria,flagelliformis,United States,1977 Aug 15,Sandra C. Lindstrom,927EA774-11F5-CC4B-A7B3-1C20B3306FE9
A82036,,Chordaria,flagelliformis,United States,7/10/1987,John Heine,5D117C84-6E79-AB4A-9E07-3B424F83DBDC
A85201,,Chordaria,flagelliformis,United States,8/7/2002,Sandra C. Lindstrom,05FF4201-201D-244C-8427-A9F909ECC6A9
A85516,,Chordaria,flagelliformis,United States,2005 Jun 20,Sandra C. Lindstrom,D6C98B30-E687-B149-AB99-E3ECF82C3048
A86013,,Chordaria,flagelliformis,United States,2007 Jul 02,Spencer Wood,80E0D4CC-B478-0B4F-BE91-3B50204D4758
A85889,,Chordaria,flagelliformis,United States,2004,Spencer Wood,5B7F2124-0538-6E44-887A-4F80148156AF
A85890,,Chordaria,flagelliformis,United States,2004,Spencer Wood,32093DC1-2076-9347-9BF2-22BC71059C25
A85934,,Chordaria,flagelliformis,United States,2006 Jun 21,Roly Russell,844FBF8F-0BBF-5C4C-BBA3-5668F1A84DAD
A85959,,Chordaria,flagelliformis,United States,2006 Jun 12,Roly Russell,BBAF9703-736E-8448-8602-114624832D75
A85976,,Chordaria,flagelliformis,United States,2006 Jun 12,Spencer Wood,5D627936-116E-ED4B-B161-36D5AFD40086
A86014,,Chordaria,flagelliformis,United States,2007 Jul 02,Spencer Wood,FAA54357-4239-A141-97EE-4E4FC41CB34B
A86042,,Chordaria,flagelliformis,United States,2007 Jul 03,Dieta lund,B2218710-C897-B549-8172-5C4354F2D349
A86044,,Chordaria,flagelliformis,United States,2007 Jul 03,Spencer Wood,C637E76B-A0E7-1E4C-9326-D0215B7ECFB3
A86121,,Chordaria,flagelliformis,United States,2006 Aug 21,Sandra C. Lindstrom,56374C5C-D62A-0348-B78E-5B702F1EBC32
A86611,,Chordaria,flagelliformis,United States,2005 Jun 26,Sandra C. Lindstrom,57ACA45E-DAF0-0541-A067-8B7C8134D0E5
A86909,,Chordaria,flagelliformis,United States,2003 Jun 28,M. R. Lindeberg,EF26A2ED-8401-6E42-BEC8-94D2413B38DA
A86948,,Chordaria,flagelliformis,United States,2003 Jul 03,Sandra C. Lindstrom,A6FC0041-490B-5B48-973F-5D4F7F42ED0A
A87222,,Chordaria,flagelliformis,United States,2006 Jun 12,Roly Russell,B09BB1AE-6602-C14D-85CC-B65021B682DC
A87238,,Chordaria,flagelliformis,United States,2006 Jun 21,Roly Russell,46A55E34-A6E9-3249-95D1-279918754021
A87921,,Chordaria,flagelliformis,United States,2005 Aug 19,Sandra C. Lindstrom,180BADA9-CF45-364E-9A12-417A250C2ADD
A88300,,Chordaria,flagelliformis,United States,2008 Jul 19,Sandra C. Lindstrom,25D70775-ED56-964A-9FFB-324A809CBB68
A89192,,Chordaria,flagelliformis,United States,2008 Aug 04,Sandra C. Lindstrom,882AE27D-5D16-0846-A2D8-CEE2D546B41A
A89202,,Chordaria,flagelliformis,United States,2008 Aug,David H. Ward,BFF31A78-7B1F-9E44-91D9-16F713F5E381
A90126,,Chordaria,flagelliformis,United States,2012 Sep 01,Sandra C. Lindstrom,4BE0F23B-6E76-A941-94E9-9A555EE904ED
A90153,,Chordaria,flagelliformis,United States,2012 Aug 29,Sandra C. Lindstrom,F9828163-57CD-0B42-8E41-16D345A5BF04
A90166,,Chordaria,flagelliformis,United States,2012 Aug 31,Sandra C. Lindstrom,A5900EB4-D8CB-AE4D-A3D8-42530E04C176
A90874,,Chordaria,flagelliformis,United States,2006 Jul,Susan M. Saupe,42A4316A-5584-5D4F-8522-9790DE76AD13
A89192,,Chordaria,flagelliformis,United States,2008 Aug 04,Sandra C. Lindstrom,3E839605-28DA-1C49-B229-74BA1B0B343F
A93114,,Chordaria,flagelliformis,United States,2003 Jul 27,Sandra C. Lindstrom,10570123-79ED-BF48-840A-30447C217643
A93115,,Chordaria,flagelliformis,United States,2003 Jun 30,Sandra C. Lindstrom,A096DA82-314B-404C-832F-FC12EA0748DE
A80613,,Chordaria,flagelliformis,United States,1989 Jul 15,Sandra C. Lindstrom,09587F1C-54D7-9D48-97ED-B200A305A331
A80719,,Chordaria,flagelliformis,United States,1989 Jul 16,Sandra C. Lindstrom,79314A79-183A-6D4A-B2CD-126402625181
A80657,,Chordaria,flagelliformis,United States,1989 Jul 24,Sandra C. Lindstrom,B38356DC-8E91-2E49-9879-94BDF12F3F94
A80623,,Chordaria,flagelliformis,United States,1989 Jul 28,Sandra C. Lindstrom,466F1250-4380-FD4F-A452-D6ED8ADC38FF
A80536,,Chordaria,flagelliformis,United States,1989 Jul 30,Sandra C. Lindstrom,73C0EF5D-63DC-5743-AEB8-EBE92A61ABD1
A80593,,Chordaria,flagelliformis,United States,1989 Aug 02,Sandra C. Lindstrom,D2E92C61-EB85-7E41-BA08-2E8B05E9202F
A92740,,Chordaria,flagelliformis,"United States",2016 Jul 12,Sandra C. Lindstrom,54303BD8-7D33-D747-BB40-31186C9ABDBC
A80680,,Chordaria,flagelliformis,United States,1989 Jul 22,Sandra C. Lindstrom,857F2240-83EF-7845-81DE-21570E3D2767
A61330,,Chordaria,gracilis,United States,1979 Aug 06,Denise Lees,DA936E25-4EB0-614B-A576-8EEB92CBF612
A27390,,Chordaria,gracilis,United States,1966 Jul 23,Al Cattell,1E32B068-D24E-D643-BBC4-69BDCC47395E
A27409,,Chordaria,gracilis,United States,1966 Jul 23,R. Hill,02C04851-82DA-7448-A4D4-18A3B2A47511
